"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"317",11,"Jarquez Hunter",FA,"RB97","262","460","319.8","44.1","-"
"318",11,"Michael Mayer",LV,"TE40","222","347","292.9","32.7","-6"
"319",11,"Jahan Dotson",ATL,"WR110","201","361","279.5","44.5","-"
"320",11,"Jaleel McLaughlin",CLE,"RB98","249","458","315.9","45.0","-"
"321",11,"Kareem Hunt",FA,"RB99","270","353","310.7","21.0","-"
"322",11,"Darnell Washington",PIT,"TE41","209","329","281.6","35.1","-"
"323",11,"Bryce Lance",NO,"WR111","241","343","286.3","28.4","-19"
"324",11,"Brandon Aiyuk",SF,"WR112","196","333","286.4","33.0","-2"
"325",11,"Jalen Tolbert",MIA,"WR113","243","364","296.2","36.3","-60"
"326",11,"Charlie Kolar",LAC,"TE42","206","359","275.2","40.3","-"
"327",11,"Tyler Higbee",LAR,"TE43","286","351","320.7","18.1","-"
"328",11,"Jake Elliott",PHI,"K18","316","369","333.3","21.6","-174"
"329",11,"Elijah Arroyo",SEA,"TE44","241","337","290.6","31.7","-"
"330",11,"Xavier Hutchinson",HOU,"WR114","236","346","283.8","32.7","-"
"331",11,"Kendrick Bourne",ARI,"WR115","246","367","292.5","35.9","-"
"332",11,"Erick All Jr.",CIN,"TE45","227","360","312.1","44.9","-"
"333",11,"Zavion Thomas",CHI,"WR116","257","380","317.3","38.0","-"
"334",11,"Carolina Panthers",CAR,"DST21","233","498","330.5","77.3","-"
"335",11,"Joshua Palmer",BUF,"WR117","254","370","309.2","38.9","-"
"336",11,"Mac Jones",SF,"QB36","309","682","381.1","102.1","-"
"337",12,"Malik Benson",LV,"WR118","249","372","317.9","39.0","-"
"338",12,"Brenen Thompson",LAC,"WR119","263","375","306.2","30.6","-"
"339",12,"Eli Raridon",NE,"TE46","215","373","312.8","47.4","-"
"340",12,"Tyreek Hill",FA,"WR120","238","372","288.6","32.2","-134"
"341",12,"Konata Mumpfield",LAR,"WR121","278","589","335.3","78.0","-"
"342",12,"KaVontae Turpin",DAL,"WR122","237","390","317.1","52.2","-"
"343",12,"Cole Kmet",CHI,"TE47","260","349","307.5","28.3","-"
"344",12,"Roman Wilson",PIT,"WR123","264","386","307.3","38.7","-"
"345",12,"Jacob Saylors",DET,"RB100","215","371","287.2","56.4","-64"
"346",12,"Bam Knight",ARI,"RB101","270","443","323.9","39.9","-"
